Available,Cost,Event name,Category,Organizer,Link,Date,Beginning Date,Ending Date,Time,Location,Photo,Summary
,,夏の酒器展,exhibition,wakaartisans,https://www.instagram.com/p/C8Go8nqS201/,till 8/7,27/6,8/7,,"The Cove, 40A Upper Lascar Row, Sheung Wan",,"【夏の酒器展】 @wakaartisans | till 8/7 | The Cove, 40A Upper Lascar Row, Sheung Wan"
,Free,細看中西區微型展,exhibition,joyfulminiature_hk,https://www.instagram.com/p/C8mnwtpSlDR/?img_index=1,till 8/7,21/6,8/7,,金鐘太古廣場L1層 Park Court,,【細看中西區微型展】 @joyfulminiature_hk | till 8/7 | 金鐘太古廣場L1層 Park Court
,,Elephant in the Hat,exhibition,artbridgerofficial,https://www.instagram.com/p/C8g86WZPm8C/?img_index=1,till 12/7,11/7,12/7,,Soho House,,【Elephant in the Hat】 @artbridgerofficial | till 12/7 | Soho House
,,動漫催化劑 - Manga Magic,exhibition,hkillustrators,https://www.instagram.com/p/C6p1G6vPVKS/?img_index=2,till 12/7,29/6,12/7,,"Rm 1105, Eastcore 398 - 402 Kwun Tong Road",,"【動漫催化劑 - Manga Magic】 @hkillustrators | till 12/7 | Rm 1105, Eastcore 398 - 402 Kwun Tong Road"
,,【郭基權 —— 歷史·街頭文化展】《話說大坑西——「家」的自白與旁白》,exhibition,cogito._hk,,till 13/7,8/7,13/7,,香港中文大學崇基學院龔約翰學生中心 LG4,,【【郭基權 —— 歷史·街頭文化展】《話說大坑西——「家」的自白與旁白》】 @cogito._hk | till 13/7 | 香港中文大學崇基學院龔約翰學生中心 LG4
,,Emily Allchurch: Multi Storied,exhibition,karinweber_gallery,https://www.instagram.com/p/C71BSFAPtJj/,till 13/7,6/6,13/7,,Karinl Weber Gallery,,【Emily Allchurch: Multi Storied】 @karinweber_gallery | till 13/7 | Karinl Weber Gallery
,,南倫美：新盆景 Yoonmi Nam: Arranged Flowers,exhibition,hkopenprintshop,,till 14/7,1/6,14/7,,HKOP Gallery,,【南倫美：新盆景 Yoonmi Nam: Arranged Flowers】 @hkopenprintshop | till 14/7 | HKOP Gallery
,,自然非自然,exhibition,natureaperception,,till 14/7,8/6,14/7,,HART Haus,,【自然非自然】 @natureaperception | till 14/7 | HART Haus
,,「同慶非遺」展覽：印章雕刻技藝,exhibition,ichplus_org,,till 14/7,27/6,14/7,,饒宗頤文化館,,【「同慶非遺」展覽：印章雕刻技藝】 @ichplus_org | till 14/7 | 饒宗頤文化館
,Free,中大藝術 x 獵人書店：閣樓研習室 ATTIC LAB,exhibition,hunter.bookstore,https://www.instagram.com/p/C8ivldqvTmh/?img_index=1,till 16/7,17/6,16/7,,獵人書店閣樓,,【中大藝術 x 獵人書店：閣樓研習室 ATTIC LAB】 @hunter.bookstore | till 16/7 | 獵人書店閣樓
,,夬兒 Crip: An Exhibition,exhibition,crip.art.residency.hk,https://www.instagram.com/p/C8b9MEmvEGU/?img_index=1,till 16/7,4/7,16/7,,逸東酒店,,【夬兒 Crip: An Exhibition】 @crip.art.residency.hk | till 16/7 | 逸東酒店
,,ADA Unlocked,exhibition,daci.lingnan,https://www.instagram.com/p/C9MpyOfBuDW/,till 17/7,10/7,17/7,,"MB 2/F, Leung Fong Oi Wan Art Gallery",,"【ADA Unlocked】 @daci.lingnan | till 17/7 | MB 2/F, Leung Fong Oi Wan Art Gallery"
,,舞台及製作藝術畢業展：科藝製作系,exhibition,hkapadesign.gradex,,till 20/7,12/7,20/7,,香港演藝學院,,【舞台及製作藝術畢業展：科藝製作系】 @hkapadesign.gradex | till 20/7 | 香港演藝學院
,,「線」- 寺田克也個人展覽,exhibition,quiet__galleryhk,https://www.instagram.com/p/C8yvAqSyTPs/?img_index=1,till 21/7,29/6,21/7,,Quiet Gallery HK,,【「線」- 寺田克也個人展覽】 @quiet__galleryhk | till 21/7 | Quiet Gallery HK
,Free,在城市裂縫中 尋找理想國,exhibition,halfcupsquat,https://www.instagram.com/p/C9AG2k_N_m7/,till 21/7,20/7,21/7,,半杯寮,,【在城市裂縫中 尋找理想國】 @halfcupsquat | till 21/7 | 半杯寮
,,CONTRAST X JASONTOMMY : “Lost In Translation of Love”,exhibition,jason_tommy,,till 22/7,23/4,22/7,9am-6:30pm,CONTRAST,,【CONTRAST X JASONTOMMY : “Lost In Translation of Love”】 @jason_tommy | till 22/7 | CONTRAST
,,《成為交換生：社區生活的藝術日記》交換生活成果展,exhibition,tin_library,,till 22/7,29/6,22/7,,The Bridge+ 人文藝術空間,,【《成為交換生：社區生活的藝術日記》交換生活成果展】 @tin_library | till 22/7 | The Bridge+ 人文藝術空間
,Free,藝術文學士畢業展2024——「瞬」,exhibition,hkas.bafa.gradshow,https://www.instagram.com/p/C8ZMCrNPoca/,till 22/7,6/7,22/7,,香港藝術中心包氏畫廊,,【藝術文學士畢業展2024——「瞬」】 @hkas.bafa.gradshow | till 22/7 | 香港藝術中心包氏畫廊
,,《藝匠18·鳥山魂》藝術聯展,exhibition,ayip_gallery,https://www.instagram.com/p/C9H75Z3v6GY/,till 22/7,13/7,22/7,,Area Gallery,,【《藝匠18·鳥山魂》藝術聯展】 @ayip_gallery | till 22/7 | Area Gallery
,Free,CLAPTON TAM 原画作品展,exhibition,claptontam,https://www.instagram.com/p/C8ghJKyPbuW/,till 23/7,24/6,23/7,,迷你中環,,【CLAPTON TAM 原画作品展】 @claptontam | till 23/7 | 迷你中環
Y,,休班黃昏也會望望逃生路線,exhibition,galleryexit,https://www.instagram.com/p/C8bK1BPPxqa/,till 27/7,29/6,27/7,,Gallery EXIT 安全口,Snapinsta.app_448786182_18426547672065761_7519421315940058161_n_1080,【休班黃昏也會望望逃生路線】 @galleryexit | till 27/7 | Gallery EXIT 安全口
Y,,失足於蒸發掉的一間房間,exhibition,cheukyinggg.10,https://www.instagram.com/p/C8zfIYfByzm/?igsh=ODcyNHd6NTZvdXll,till 27/7,13/7,27/7,,黃竹坑,,【失足於蒸發掉的一間房間】 @cheukyinggg.10 | till 27/7 | 黃竹坑
Y,,香港浸會大學視覺藝術院碩士畢業展二零二四——Time Tracing | 長日留痕,exhibition,avamagradshow,https://www.instagram.com/p/C9JeE24vZSJ/,till 27/7,13/7,27/7,,香港九龍觀塘道51號香港浸會大學啟德校園,Snapinsta.app_450126258_18013357052585170_1121810538834953275_n_1080,【香港浸會大學視覺藝術院碩士畢業展二零二四——Time Tracing | 長日留痕】 @avamagradshow | till 27/7 | 香港九龍觀塘道51號香港浸會大學啟德校園
Y,,「Hactl X Free Periods Hong Kong - Be My Buddy Buddy」 月經平等展覽,exhibition,freeperiods.hk,https://www.instagram.com/p/C9UEnjLPOqk/,till 27/7,13/7,27/7,,家計會賽馬會青Zone活動及資源館,,【「Hactl X Free Periods Hong Kong - Be My Buddy Buddy」 月經平等展覽】 @freeperiods.hk | till 27/7 | 家計會賽馬會青Zone活動及資源館
Y,Free,李昭辰個人展 「 這裡 」,exhibition,parallel_space_hk,https://www.instagram.com/p/C8g-K6mA0k3/,till 28/7,6/7,28/7,,Parallel Space,Snapinsta.app_448832968_18230423803272180_800226271037843443_n_1080,【李昭辰個人展 「 這裡 」】 @parallel_space_hk | till 28/7 | Parallel Space
Y,,沒有我的房間,exhibition,lam.kiu.yan,https://www.instagram.com/p/C8onCDdv5f8/?img_index=1,till 28/7,6/7,28/7,,艺鵠書店,Snapinsta.app_449206747_1191975761979394_4810134909465477989_n_1080,【沒有我的房間】 @lam.kiu.yan | till 28/7 | 艺鵠書店
Y,,DIMENSION 2*3 -。Wong Sze Chit x Ram2 Solo Exhibition,exhibition,1999_artspace,https://www.instagram.com/p/C83sIxuPwWe/?img_index=1,till 28/7,5/7,28/7,,Artspace 1999,Snapinsta.app_449495867_1020279319713428_8277848120360888330_n_1080,【DIMENSION 2*3 -。Wong Sze Chit x Ram2 Solo Exhibition】 @1999_artspace | till 28/7 | Artspace 1999
Y,,冬甩與貝果,exhibition,wure area,https://www.instagram.com/p/C81iUbtP71A/?igsh=MWpwNzlld2Z6eHVraQ==,till 28/7,6/7,28/7,,九龍灣,,【冬甩與貝果】 @wure area | till 28/7 | 九龍灣
